Movie_name,Rating,Duration,Release_year,Genre,Director,Num_Reviews,Metascore,Summary
214. Awake,6.5,1h 24m,2007,drama,Joby Harold, (83K),33,A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.
215. An American Crime,7.2,1h 38m,2007,drama,Tommy O'Haver, (39K),N/A,"The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s."
217. Bridge to Terabithia,7.2,1h 36m,2007,drama,Gabor Csupo, (180K),74,"Leslie and Jess create the secret kingdom of Terabithia, a land of monsters, trolls, ogres and giants where they spend their free time ruling as king and queen and fighting evil creatures."
218. Chak De! India,8.1,2h 33m,2007,drama,Shimit Amin, (87K),68,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds."
219. Cheluvina Chittara,6.4,2h 30m,2007,drama,S. Narayan, (120),N/A,"A young schoolgirl, Aishwarya, from a rich local don family falls in love and elopes with a small-time mechanic, Maadesha."
220. Dan in Real Life,6.8,1h 38m,2007,drama,Peter Hedges, (109K),65,A widower finds out the woman he fell in love with is his brother's girlfriend.
221. Disturbia,6.8,1h 45m,2007,drama,D.J. Caruso, (264K),62,"When a teenager is placed under house arrest, he succumbs to despair and starts spying on his neighbors, hoping to spice up his life. This, however, leads him to witness a serial killer on the loose."
222. Eastern Promises,7.6,1h 40m,2007,drama,David Cronenberg, (269K),83,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.
224. Fracture,7.2,1h 53m,2007,drama,Gregory Hoblit, (226K),68,"After shooting his wife, Ted confesses his crime and asks the court to move his case to trial. He represents himself against Willy, a successful lawyer. But there's more to the case than meets the eye."
225. Happy Days,7.9,2h 33m,2007,drama,Sekhar Kammula, (6.5K),N/A,A group of eight youngsters from an engineering college form an unbreakable friendship after going through various struggles together.
228. I Am Legend,7.2,1h 41m,2007,drama,Francis Lawrence, (843K),65,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure."
229. Into the Wild,8.1,2h 28m,2007,drama,Sean Penn, (675K),73,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness."
230. Jab We Met,7.9,2h 18m,2007,drama,Imtiaz Ali, (61K),N/A,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
231. Juno,7.4,1h 36m,2007,drama,Jason Reitman, (560K),81,"Faced with an unplanned pregnancy, an offbeat young woman makes a selfless decision regarding the unborn child."
236. Michael Clayton,7.2,1h 59m,2007,drama,Tony Gilroy, (178K),82,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit."
238. Mr. Brooks,7.3,2h,2007,drama,Bruce A. Evans, (160K),45,A well-respected businessman is sometimes controlled by his murder and mayhem-loving alter ego.
241. No Country for Old Men,8.2,2h 2m,2007,drama,Ethan Coen, (1.1M),92,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
243. Om Shanti Om,6.8,2h 42m,2007,drama,Farah Khan, (52K),N/A,"In the 1970s, Om, an aspiring actor, is murdered, but is immediately reincarnated into the present day. He attempts to discover the mystery of his demise and find Shanti, the love of his previous life."
245. P.S. I Love You,7.0,2h 6m,2007,drama,Richard LaGravenese, (222K),39,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.
248. Shattered,6.6,1h 35m,2007,drama,Mike Barker, (34K),N/A,A perfect family's dynamic is ruined by a kidnapper's brutally efficient plot.
250. Shooter,7.1,2h 4m,2007,drama,Antoine Fuqua, (365K),53,"An expert marksman living in exile, is coaxed back into action after learning of a plot to kill the president. Now on the run after being double crossed for the assasination attempt he was trying to prevent, he sets out for the real killer, and the truth."
253. Sweeney Todd: The Demon Barber of Fleet Street,7.3,1h 56m,2007,drama,Tim Burton, (396K),83,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett."
254. Like Stars on Earth,8.3,2h 42m,2007,drama,Aamir Khan, (215K),N/A,A young boy is thought to be nothing but a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.
257. The Bucket List,7.4,1h 37m,2007,drama,Rob Reiner, (265K),42,Two terminally ill men escape from a cancer ward and head off on a road trip with a wish list of to-dos before they die.
258. The Cake Eaters,6.3,1h 26m,2007,drama,Mary Stuart Masterson, (7.5K),60,Two families are brought together by the return of one family's son -- a reunion that conjures up old ghosts and issues that must be addressed.
261. The Lookout,6.9,1h 39m,2007,drama,Scott Frank, (61K),73,"Chris is a once promising high school athlete whose life is turned upside down following a tragic accident. As he tries to maintain a normal life, he takes a job as a janitor at a bank, where he ultimately finds himself caught up in a planned heist."
263. The Orphanage,7.4,1h 45m,2007,drama,J.A. Bayona, (167K),74,"A woman brings her family back to her childhood home, which used to be an orphanage for handicapped children. Before long, her son starts to communicate with an invisible new friend."
265. There Will Be Blood,8.2,2h 38m,2007,drama,Paul Thomas Anderson, (664K),93,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
266. Trade,7.3,2h,2007,drama,Marco Kreuzpaintner, (18K),42,"Adriana, 13, is kidnapped in Mexico City by Russian sex traffickers. Her criminal 17 y.o. brother starts looking for her. Across the border in Texas, he gets help from a cop."
270. Zodiac,7.7,2h 37m,2007,drama,David Fincher, (629K),79,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
271. 24: Redemption,7.4,1h 24m,2008,drama,Jon Cassar, (29K),N/A,"Jack Bauer confronts African general/aspiring dictator Benjamin Juma, whose forces have been ordered to capture the children Bauer oversees for malicious military training."
